,names,labels
72,computer_graphics,0
73,computer_graphics,0
74,computer_graphics,0
75,computer_graphics,0
76,computer_graphics,0
77,computer_graphics,0
78,computer_graphics,0
79,computer_graphics,0
80,computer_graphics,0
81,computer_graphics,0
82,law_school,0
83,law_school,0
84,law_school,0
85,law_school,0
86,law_school,0
87,law_school,0
88,law_school,0
89,law_school,0
90,law_school,0
91,law_school,0
1,beekeeping,1
2,beekeeping,1
3,beekeeping,1
4,beekeeping,1
5,beekeeping,1
6,beekeeping,1
7,beekeeping,1
8,beekeeping,1
9,beekeeping,1
10,beekeeping,1
11,beekeeping,1
32,hurricane,1
33,hurricane,1
34,hurricane,1
35,hurricane,1
36,hurricane,1
37,hurricane,1
38,hurricane,1
39,hurricane,1
40,hurricane,1
41,hurricane,1
52,lawn_mower,1
53,lawn_mower,1
54,lawn_mower,1
55,lawn_mower,1
56,lawn_mower,1
57,lawn_mower,1
58,lawn_mower,1
59,lawn_mower,1
60,lawn_mower,1
61,lawn_mower,1
213,pyramid,1
214,pyramid,1
215,pyramid,1
216,pyramid,1
217,pyramid,1
218,pyramid,1
219,pyramid,1
220,pyramid,1
221,pyramid,1
222,pyramid,1
122,blindness,2
123,blindness,2
124,blindness,2
125,blindness,2
126,blindness,2
127,blindness,2
128,blindness,2
129,blindness,2
130,blindness,2
131,blindness,2
141,bone_fracture,2
142,bone_fracture,2
143,bone_fracture,2
144,bone_fracture,2
145,bone_fracture,2
146,bone_fracture,2
147,bone_fracture,2
148,bone_fracture,2
149,bone_fracture,2
150,bone_fracture,2
151,bone_fracture,2
203,castle,3
204,castle,3
205,castle,3
206,castle,3
207,castle,3
208,castle,3
209,castle,3
210,castle,3
211,castle,3
212,castle,3
193,polar_bear,3
194,polar_bear,3
195,polar_bear,3
196,polar_bear,3
197,polar_bear,3
198,polar_bear,3
199,polar_bear,3
200,polar_bear,3
201,polar_bear,3
202,polar_bear,3
183,owl,5
184,owl,5
185,owl,5
186,owl,5
187,owl,5
188,owl,5
189,owl,5
190,owl,5
191,owl,5
192,owl,5
112,tuxedo,5
113,tuxedo,5
114,tuxedo,5
115,tuxedo,5
116,tuxedo,5
117,tuxedo,5
118,tuxedo,5
119,tuxedo,5
120,tuxedo,5
121,tuxedo,5
22,gambling,6
23,gambling,6
24,gambling,6
25,gambling,6
26,gambling,6
27,gambling,6
28,gambling,6
29,gambling,6
30,gambling,6
31,gambling,6
62,astronaut,7
63,astronaut,7
64,astronaut,7
65,astronaut,7
66,astronaut,7
67,astronaut,7
68,astronaut,7
69,astronaut,7
70,astronaut,7
71,astronaut,7
12,dreams,7
13,dreams,7
14,dreams,7
15,dreams,7
16,dreams,7
17,dreams,7
18,dreams,7
19,dreams,7
20,dreams,7
21,dreams,7
162,opera,7
163,opera,7
164,opera,7
165,opera,7
166,opera,7
167,opera,7
168,opera,7
169,opera,7
170,opera,7
171,opera,7
172,opera,7
173,painter,7
174,painter,7
175,painter,7
176,painter,7
177,painter,7
178,painter,7
179,painter,7
180,painter,7
181,painter,7
182,painter,7
152,infection,8
153,infection,8
154,infection,8
155,infection,8
156,infection,8
157,infection,8
158,infection,8
159,infection,8
160,infection,8
161,infection,8
223,rock_climbing,9
224,rock_climbing,9
225,rock_climbing,9
226,rock_climbing,9
227,rock_climbing,9
228,rock_climbing,9
229,rock_climbing,9
230,rock_climbing,9
231,rock_climbing,9
232,rock_climbing,9
233,rock_climbing,9
0,skiing,9
234,skiing,9
235,skiing,9
236,skiing,9
237,skiing,9
238,skiing,9
239,skiing,9
240,skiing,9
241,skiing,9
242,skiing,9
92,pharmacist,10
93,pharmacist,10
94,pharmacist,10
95,pharmacist,10
96,pharmacist,10
97,pharmacist,10
98,pharmacist,10
99,pharmacist,10
100,pharmacist,10
101,pharmacist,10
102,stress,10
103,stress,10
104,stress,10
105,stress,10
106,stress,10
107,stress,10
108,stress,10
109,stress,10
110,stress,10
111,stress,10
42,ice_cream,11
43,ice_cream,11
44,ice_cream,11
45,ice_cream,11
46,ice_cream,11
47,ice_cream,11
48,ice_cream,11
49,ice_cream,11
50,ice_cream,11
51,ice_cream,11
132,taste,11
133,taste,11
134,taste,11
135,taste,11
136,taste,11
137,taste,11
138,taste,11
139,taste,11
140,taste,11
