,names,labels
1,beekeeping,0
2,beekeeping,0
3,beekeeping,0
4,beekeeping,0
5,beekeeping,0
6,beekeeping,0
7,beekeeping,0
8,beekeeping,0
9,beekeeping,0
10,beekeeping,0
11,beekeeping,0
162,opera,1
163,opera,1
164,opera,1
165,opera,1
166,opera,1
167,opera,1
168,opera,1
169,opera,1
170,opera,1
171,opera,1
172,opera,1
42,ice_cream,2
43,ice_cream,2
44,ice_cream,2
45,ice_cream,2
46,ice_cream,2
47,ice_cream,2
48,ice_cream,2
49,ice_cream,2
50,ice_cream,2
51,ice_cream,2
132,taste,2
133,taste,2
134,taste,2
135,taste,2
136,taste,2
137,taste,2
138,taste,2
139,taste,2
140,taste,2
62,astronaut,3
63,astronaut,3
64,astronaut,3
65,astronaut,3
66,astronaut,3
67,astronaut,3
68,astronaut,3
69,astronaut,3
70,astronaut,3
71,astronaut,3
173,painter,3
174,painter,3
175,painter,3
176,painter,3
177,painter,3
178,painter,3
179,painter,3
180,painter,3
181,painter,3
182,painter,3
122,blindness,4
123,blindness,4
124,blindness,4
125,blindness,4
126,blindness,4
127,blindness,4
128,blindness,4
129,blindness,4
130,blindness,4
131,blindness,4
141,bone_fracture,4
142,bone_fracture,4
143,bone_fracture,4
144,bone_fracture,4
145,bone_fracture,4
146,bone_fracture,4
147,bone_fracture,4
148,bone_fracture,4
149,bone_fracture,4
150,bone_fracture,4
151,bone_fracture,4
152,infection,4
153,infection,4
154,infection,4
155,infection,4
156,infection,4
157,infection,4
158,infection,4
159,infection,4
160,infection,4
161,infection,4
92,pharmacist,5
93,pharmacist,5
94,pharmacist,5
95,pharmacist,5
96,pharmacist,5
97,pharmacist,5
98,pharmacist,5
99,pharmacist,5
100,pharmacist,5
101,pharmacist,5
72,computer_graphics,6
73,computer_graphics,6
74,computer_graphics,6
75,computer_graphics,6
76,computer_graphics,6
77,computer_graphics,6
78,computer_graphics,6
79,computer_graphics,6
80,computer_graphics,6
81,computer_graphics,6
22,gambling,6
23,gambling,6
24,gambling,6
25,gambling,6
26,gambling,6
27,gambling,6
28,gambling,6
29,gambling,6
30,gambling,6
31,gambling,6
82,law_school,6
83,law_school,6
84,law_school,6
85,law_school,6
86,law_school,6
87,law_school,6
88,law_school,6
89,law_school,6
90,law_school,6
91,law_school,6
12,dreams,7
13,dreams,7
14,dreams,7
15,dreams,7
16,dreams,7
17,dreams,7
18,dreams,7
19,dreams,7
20,dreams,7
21,dreams,7
102,stress,7
103,stress,7
104,stress,7
105,stress,7
106,stress,7
107,stress,7
108,stress,7
109,stress,7
110,stress,7
111,stress,7
112,tuxedo,9
113,tuxedo,9
114,tuxedo,9
115,tuxedo,9
116,tuxedo,9
117,tuxedo,9
118,tuxedo,9
119,tuxedo,9
120,tuxedo,9
121,tuxedo,9
203,castle,10
204,castle,10
205,castle,10
206,castle,10
207,castle,10
208,castle,10
209,castle,10
210,castle,10
211,castle,10
212,castle,10
32,hurricane,10
33,hurricane,10
34,hurricane,10
35,hurricane,10
36,hurricane,10
37,hurricane,10
38,hurricane,10
39,hurricane,10
40,hurricane,10
41,hurricane,10
183,owl,10
184,owl,10
185,owl,10
186,owl,10
187,owl,10
188,owl,10
189,owl,10
190,owl,10
191,owl,10
192,owl,10
193,polar_bear,10
194,polar_bear,10
195,polar_bear,10
196,polar_bear,10
197,polar_bear,10
198,polar_bear,10
199,polar_bear,10
200,polar_bear,10
201,polar_bear,10
202,polar_bear,10
213,pyramid,10
214,pyramid,10
215,pyramid,10
216,pyramid,10
217,pyramid,10
218,pyramid,10
219,pyramid,10
220,pyramid,10
221,pyramid,10
222,pyramid,10
223,rock_climbing,10
224,rock_climbing,10
225,rock_climbing,10
226,rock_climbing,10
227,rock_climbing,10
228,rock_climbing,10
229,rock_climbing,10
230,rock_climbing,10
231,rock_climbing,10
232,rock_climbing,10
233,rock_climbing,10
0,skiing,10
234,skiing,10
235,skiing,10
236,skiing,10
237,skiing,10
238,skiing,10
239,skiing,10
240,skiing,10
241,skiing,10
242,skiing,10
52,lawn_mower,11
53,lawn_mower,11
54,lawn_mower,11
55,lawn_mower,11
56,lawn_mower,11
57,lawn_mower,11
58,lawn_mower,11
59,lawn_mower,11
60,lawn_mower,11
61,lawn_mower,11
