,names,labels
203,castle,0
204,castle,0
205,castle,0
206,castle,0
207,castle,0
208,castle,0
209,castle,0
210,castle,0
211,castle,0
212,castle,0
32,hurricane,0
33,hurricane,0
34,hurricane,0
35,hurricane,0
36,hurricane,0
37,hurricane,0
38,hurricane,0
39,hurricane,0
40,hurricane,0
41,hurricane,0
141,bone_fracture,1
142,bone_fracture,1
143,bone_fracture,1
144,bone_fracture,1
145,bone_fracture,1
146,bone_fracture,1
147,bone_fracture,1
148,bone_fracture,1
149,bone_fracture,1
150,bone_fracture,1
151,bone_fracture,1
72,computer_graphics,1
73,computer_graphics,1
74,computer_graphics,1
75,computer_graphics,1
76,computer_graphics,1
77,computer_graphics,1
78,computer_graphics,1
79,computer_graphics,1
80,computer_graphics,1
81,computer_graphics,1
173,painter,1
174,painter,1
175,painter,1
176,painter,1
177,painter,1
178,painter,1
179,painter,1
180,painter,1
181,painter,1
182,painter,1
1,beekeeping,2
2,beekeeping,2
3,beekeeping,2
4,beekeeping,2
5,beekeeping,2
6,beekeeping,2
7,beekeeping,2
8,beekeeping,2
9,beekeeping,2
10,beekeeping,2
11,beekeeping,2
213,pyramid,2
214,pyramid,2
215,pyramid,2
216,pyramid,2
217,pyramid,2
218,pyramid,2
219,pyramid,2
220,pyramid,2
221,pyramid,2
222,pyramid,2
132,taste,2
133,taste,2
134,taste,2
135,taste,2
136,taste,2
137,taste,2
138,taste,2
139,taste,2
140,taste,2
162,opera,3
163,opera,3
164,opera,3
165,opera,3
166,opera,3
167,opera,3
168,opera,3
169,opera,3
170,opera,3
171,opera,3
172,opera,3
82,law_school,4
83,law_school,4
84,law_school,4
85,law_school,4
86,law_school,4
87,law_school,4
88,law_school,4
89,law_school,4
90,law_school,4
91,law_school,4
92,pharmacist,4
93,pharmacist,4
94,pharmacist,4
95,pharmacist,4
96,pharmacist,4
97,pharmacist,4
98,pharmacist,4
99,pharmacist,4
100,pharmacist,4
101,pharmacist,4
102,stress,4
103,stress,4
104,stress,4
105,stress,4
106,stress,4
107,stress,4
108,stress,4
109,stress,4
110,stress,4
111,stress,4
52,lawn_mower,5
53,lawn_mower,5
54,lawn_mower,5
55,lawn_mower,5
56,lawn_mower,5
57,lawn_mower,5
58,lawn_mower,5
59,lawn_mower,5
60,lawn_mower,5
61,lawn_mower,5
183,owl,5
184,owl,5
185,owl,5
186,owl,5
187,owl,5
188,owl,5
189,owl,5
190,owl,5
191,owl,5
192,owl,5
193,polar_bear,5
194,polar_bear,5
195,polar_bear,5
196,polar_bear,5
197,polar_bear,5
198,polar_bear,5
199,polar_bear,5
200,polar_bear,5
201,polar_bear,5
202,polar_bear,5
223,rock_climbing,5
224,rock_climbing,5
225,rock_climbing,5
226,rock_climbing,5
227,rock_climbing,5
228,rock_climbing,5
229,rock_climbing,5
230,rock_climbing,5
231,rock_climbing,5
232,rock_climbing,5
233,rock_climbing,5
12,dreams,6
13,dreams,6
14,dreams,6
15,dreams,6
16,dreams,6
17,dreams,6
18,dreams,6
19,dreams,6
20,dreams,6
21,dreams,6
22,gambling,6
23,gambling,6
24,gambling,6
25,gambling,6
26,gambling,6
27,gambling,6
28,gambling,6
29,gambling,6
30,gambling,6
31,gambling,6
112,tuxedo,8
113,tuxedo,8
114,tuxedo,8
115,tuxedo,8
116,tuxedo,8
117,tuxedo,8
118,tuxedo,8
119,tuxedo,8
120,tuxedo,8
121,tuxedo,8
122,blindness,9
123,blindness,9
124,blindness,9
125,blindness,9
126,blindness,9
127,blindness,9
128,blindness,9
129,blindness,9
130,blindness,9
131,blindness,9
152,infection,9
153,infection,9
154,infection,9
155,infection,9
156,infection,9
157,infection,9
158,infection,9
159,infection,9
160,infection,9
161,infection,9
62,astronaut,10
63,astronaut,10
64,astronaut,10
65,astronaut,10
66,astronaut,10
67,astronaut,10
68,astronaut,10
69,astronaut,10
70,astronaut,10
71,astronaut,10
42,ice_cream,11
43,ice_cream,11
44,ice_cream,11
45,ice_cream,11
46,ice_cream,11
47,ice_cream,11
48,ice_cream,11
49,ice_cream,11
50,ice_cream,11
51,ice_cream,11
0,skiing,11
234,skiing,11
235,skiing,11
236,skiing,11
237,skiing,11
238,skiing,11
239,skiing,11
240,skiing,11
241,skiing,11
242,skiing,11
