,names,labels
122,blindness,0
123,blindness,0
124,blindness,0
125,blindness,0
126,blindness,0
127,blindness,0
128,blindness,0
129,blindness,0
130,blindness,0
131,blindness,0
141,bone_fracture,0
142,bone_fracture,0
143,bone_fracture,0
144,bone_fracture,0
145,bone_fracture,0
146,bone_fracture,0
147,bone_fracture,0
148,bone_fracture,0
149,bone_fracture,0
150,bone_fracture,0
151,bone_fracture,0
72,computer_graphics,0
73,computer_graphics,0
74,computer_graphics,0
75,computer_graphics,0
76,computer_graphics,0
77,computer_graphics,0
78,computer_graphics,0
79,computer_graphics,0
80,computer_graphics,0
81,computer_graphics,0
152,infection,0
153,infection,0
154,infection,0
155,infection,0
156,infection,0
157,infection,0
158,infection,0
159,infection,0
160,infection,0
161,infection,0
173,painter,0
174,painter,0
175,painter,0
176,painter,0
177,painter,0
178,painter,0
179,painter,0
180,painter,0
181,painter,0
182,painter,0
102,stress,0
103,stress,0
104,stress,0
105,stress,0
106,stress,0
107,stress,0
108,stress,0
109,stress,0
110,stress,0
111,stress,0
112,tuxedo,0
113,tuxedo,0
114,tuxedo,0
115,tuxedo,0
116,tuxedo,0
117,tuxedo,0
118,tuxedo,0
119,tuxedo,0
120,tuxedo,0
121,tuxedo,0
1,beekeeping,1
2,beekeeping,1
3,beekeeping,1
4,beekeeping,1
5,beekeeping,1
6,beekeeping,1
7,beekeeping,1
8,beekeeping,1
9,beekeeping,1
10,beekeeping,1
11,beekeeping,1
32,hurricane,1
33,hurricane,1
34,hurricane,1
35,hurricane,1
36,hurricane,1
37,hurricane,1
38,hurricane,1
39,hurricane,1
40,hurricane,1
41,hurricane,1
52,lawn_mower,1
53,lawn_mower,1
54,lawn_mower,1
55,lawn_mower,1
56,lawn_mower,1
57,lawn_mower,1
58,lawn_mower,1
59,lawn_mower,1
60,lawn_mower,1
61,lawn_mower,1
183,owl,1
184,owl,1
185,owl,1
186,owl,1
187,owl,1
188,owl,1
189,owl,1
190,owl,1
191,owl,1
192,owl,1
193,polar_bear,1
194,polar_bear,1
195,polar_bear,1
196,polar_bear,1
197,polar_bear,1
198,polar_bear,1
199,polar_bear,1
200,polar_bear,1
201,polar_bear,1
202,polar_bear,1
223,rock_climbing,1
224,rock_climbing,1
225,rock_climbing,1
226,rock_climbing,1
227,rock_climbing,1
228,rock_climbing,1
229,rock_climbing,1
230,rock_climbing,1
231,rock_climbing,1
232,rock_climbing,1
233,rock_climbing,1
0,skiing,1
234,skiing,1
235,skiing,1
236,skiing,1
237,skiing,1
238,skiing,1
239,skiing,1
240,skiing,1
241,skiing,1
242,skiing,1
22,gambling,2
23,gambling,2
24,gambling,2
25,gambling,2
26,gambling,2
27,gambling,2
28,gambling,2
29,gambling,2
30,gambling,2
31,gambling,2
82,law_school,2
83,law_school,2
84,law_school,2
85,law_school,2
86,law_school,2
87,law_school,2
88,law_school,2
89,law_school,2
90,law_school,2
91,law_school,2
162,opera,2
163,opera,2
164,opera,2
165,opera,2
166,opera,2
167,opera,2
168,opera,2
169,opera,2
170,opera,2
171,opera,2
172,opera,2
92,pharmacist,2
93,pharmacist,2
94,pharmacist,2
95,pharmacist,2
96,pharmacist,2
97,pharmacist,2
98,pharmacist,2
99,pharmacist,2
100,pharmacist,2
101,pharmacist,2
62,astronaut,3
63,astronaut,3
64,astronaut,3
65,astronaut,3
66,astronaut,3
67,astronaut,3
68,astronaut,3
69,astronaut,3
70,astronaut,3
71,astronaut,3
203,castle,3
204,castle,3
205,castle,3
206,castle,3
207,castle,3
208,castle,3
209,castle,3
210,castle,3
211,castle,3
212,castle,3
42,ice_cream,3
43,ice_cream,3
44,ice_cream,3
45,ice_cream,3
46,ice_cream,3
47,ice_cream,3
48,ice_cream,3
49,ice_cream,3
50,ice_cream,3
51,ice_cream,3
213,pyramid,3
214,pyramid,3
215,pyramid,3
216,pyramid,3
217,pyramid,3
218,pyramid,3
219,pyramid,3
220,pyramid,3
221,pyramid,3
222,pyramid,3
12,dreams,4
13,dreams,4
14,dreams,4
15,dreams,4
16,dreams,4
17,dreams,4
18,dreams,4
19,dreams,4
20,dreams,4
21,dreams,4
132,taste,4
133,taste,4
134,taste,4
135,taste,4
136,taste,4
137,taste,4
138,taste,4
139,taste,4
140,taste,4
