,names,labels
203,castle,0
204,castle,0
205,castle,0
206,castle,0
207,castle,0
208,castle,0
209,castle,0
210,castle,0
211,castle,0
212,castle,0
32,hurricane,0
33,hurricane,0
34,hurricane,0
35,hurricane,0
36,hurricane,0
37,hurricane,0
38,hurricane,0
39,hurricane,0
40,hurricane,0
41,hurricane,0
183,owl,0
184,owl,0
185,owl,0
186,owl,0
187,owl,0
188,owl,0
189,owl,0
190,owl,0
191,owl,0
192,owl,0
193,polar_bear,0
194,polar_bear,0
195,polar_bear,0
196,polar_bear,0
197,polar_bear,0
198,polar_bear,0
199,polar_bear,0
200,polar_bear,0
201,polar_bear,0
202,polar_bear,0
213,pyramid,0
214,pyramid,0
215,pyramid,0
216,pyramid,0
217,pyramid,0
218,pyramid,0
219,pyramid,0
220,pyramid,0
221,pyramid,0
222,pyramid,0
223,rock_climbing,0
224,rock_climbing,0
225,rock_climbing,0
226,rock_climbing,0
227,rock_climbing,0
228,rock_climbing,0
229,rock_climbing,0
230,rock_climbing,0
231,rock_climbing,0
232,rock_climbing,0
233,rock_climbing,0
0,skiing,0
234,skiing,0
235,skiing,0
236,skiing,0
237,skiing,0
238,skiing,0
239,skiing,0
240,skiing,0
241,skiing,0
242,skiing,0
62,astronaut,1
63,astronaut,1
64,astronaut,1
65,astronaut,1
66,astronaut,1
67,astronaut,1
68,astronaut,1
69,astronaut,1
70,astronaut,1
71,astronaut,1
1,beekeeping,1
2,beekeeping,1
3,beekeeping,1
4,beekeeping,1
5,beekeeping,1
6,beekeeping,1
7,beekeeping,1
8,beekeeping,1
9,beekeeping,1
10,beekeeping,1
11,beekeeping,1
72,computer_graphics,1
73,computer_graphics,1
74,computer_graphics,1
75,computer_graphics,1
76,computer_graphics,1
77,computer_graphics,1
78,computer_graphics,1
79,computer_graphics,1
80,computer_graphics,1
81,computer_graphics,1
12,dreams,1
13,dreams,1
14,dreams,1
15,dreams,1
16,dreams,1
17,dreams,1
18,dreams,1
19,dreams,1
20,dreams,1
21,dreams,1
22,gambling,1
23,gambling,1
24,gambling,1
25,gambling,1
26,gambling,1
27,gambling,1
28,gambling,1
29,gambling,1
30,gambling,1
31,gambling,1
82,law_school,1
83,law_school,1
84,law_school,1
85,law_school,1
86,law_school,1
87,law_school,1
88,law_school,1
89,law_school,1
90,law_school,1
91,law_school,1
162,opera,1
163,opera,1
164,opera,1
165,opera,1
166,opera,1
167,opera,1
168,opera,1
169,opera,1
170,opera,1
171,opera,1
172,opera,1
173,painter,1
174,painter,1
175,painter,1
176,painter,1
177,painter,1
178,painter,1
179,painter,1
180,painter,1
181,painter,1
182,painter,1
122,blindness,2
123,blindness,2
124,blindness,2
125,blindness,2
126,blindness,2
127,blindness,2
128,blindness,2
129,blindness,2
130,blindness,2
131,blindness,2
141,bone_fracture,2
142,bone_fracture,2
143,bone_fracture,2
144,bone_fracture,2
145,bone_fracture,2
146,bone_fracture,2
147,bone_fracture,2
148,bone_fracture,2
149,bone_fracture,2
150,bone_fracture,2
151,bone_fracture,2
152,infection,2
153,infection,2
154,infection,2
155,infection,2
156,infection,2
157,infection,2
158,infection,2
159,infection,2
160,infection,2
161,infection,2
92,pharmacist,2
93,pharmacist,2
94,pharmacist,2
95,pharmacist,2
96,pharmacist,2
97,pharmacist,2
98,pharmacist,2
99,pharmacist,2
100,pharmacist,2
101,pharmacist,2
102,stress,2
103,stress,2
104,stress,2
105,stress,2
106,stress,2
107,stress,2
108,stress,2
109,stress,2
110,stress,2
111,stress,2
52,lawn_mower,3
53,lawn_mower,3
54,lawn_mower,3
55,lawn_mower,3
56,lawn_mower,3
57,lawn_mower,3
58,lawn_mower,3
59,lawn_mower,3
60,lawn_mower,3
61,lawn_mower,3
112,tuxedo,3
113,tuxedo,3
114,tuxedo,3
115,tuxedo,3
116,tuxedo,3
117,tuxedo,3
118,tuxedo,3
119,tuxedo,3
120,tuxedo,3
121,tuxedo,3
42,ice_cream,4
43,ice_cream,4
44,ice_cream,4
45,ice_cream,4
46,ice_cream,4
47,ice_cream,4
48,ice_cream,4
49,ice_cream,4
50,ice_cream,4
51,ice_cream,4
132,taste,4
133,taste,4
134,taste,4
135,taste,4
136,taste,4
137,taste,4
138,taste,4
139,taste,4
140,taste,4
